Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0633399432951817,-0.115306777162767,0.0773215092552989,0,0,0,0.146073009183013,0.000122971371729359,-2.52315784573037E-20,-2.94043958335381E-22,0.000268350561212543,7.38276631013834E-21,0.000388834204788205,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/base_link.STL,,Base_Part-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1_link,-2.08166817117217E-16,0.00500000000000017,1.80411241501588E-16,0,0,0,0.0191737468916469,3.14423074657109E-06,-9.90329068367178E-21,6.79865277851786E-36,5.97552557291833E-06,-1.88627595496748E-21,3.14423074657109E-06,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_1_link.STL,,Wheel_Part-4,Origin_wheel_1_,Axis_wheel_1_,wheel_1_,continuous,0.123339943295182,-0.0553067771627669,0.0773215092552989,0,-1.5707963267949,0,base_link,0,1,0,,,,,,,,,,,,
wheel_2_link,-1.38777878078145E-17,-0.00500000000000014,-1.16573417585641E-15,0,0,0,0.0191737468916469,3.14423074657109E-06,-3.11535924767132E-37,-1.98766643320901E-36,5.97552557291834E-06,2.34745597615571E-22,3.14423074657109E-06,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_2_link.STL,,Wheel_Part-2,Origin_wheel_2,Axis_wheel_2,wheel_2,continuous,0.123339943295182,-0.165306777162768,0.0773215092552989,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_3_link,6.93889390390723E-18,0.005,0,0,0,0,0.0191737468916469,3.14423074657109E-06,-1.15737129950298E-22,1.05879118406788E-22,5.97552557291833E-06,8.00270033642477E-23,3.14423074657109E-06,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_3_link.STL,,Wheel_Part-5,Origin_wheel_3_,Axis_wheel_3_,wheel_3_,continuous,0.0033399432951817,-0.0553067771627673,0.0773215092552989,0,-0.60300839646753,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
wheel_4_link,-6.10622663543836E-16,0.00500000000000014,5.77662917500277E-16,0,0,0,0.0191737468916469,3.14423074657109E-06,-9.90329068367179E-21,4.67095572026756E-37,5.97552557291834E-06,-1.1586282522982E-22,3.14423074657109E-06,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_4_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Prototype_Assem_1/meshes/wheel_4_link.STL,,Wheel_Part-3,Origin_wheel_4,Axis_wheel_4,wheel_4,continuous,0.0033399432951817,-0.165306777162767,0.0773215092552989,0,-1.5707963267949,0,base_link,0,1,0,,,,,,,,,,,,
